home_team,away_team,home_conference,away_conference,home_elo,away_elo,date,time (et)
Rutgers,Howard,Big Ten,MEAC,1460.0,,2024-08-29,18:00
Buffalo,Lafayette,Mid-American,Patriot,1357.0,,2024-08-29,19:00
Bowling Green,Fordham,Mid-American,Patriot,1431.0,,2024-08-29,19:00
Louisiana Monroe,Jackson State,Sun Belt,SWAC,1156.0,,2024-08-29,19:00
Wake Forest,North Carolina A&T,ACC,CAA,1431.0,,2024-08-29,19:00
UCF,New Hampshire,Big 12,CAA,1578.0,,2024-08-29,19:00
NC State,Western Carolina,ACC,Southern,1606.0,,2024-08-29,19:00
Central Michigan,Central Connecticut,Mid-American,NEC,1333.0,,2024-08-29,19:00
Toledo,Duquesne,Mid-American,NEC,1526.0,,2024-08-29,19:30
Arkansas,Arkansas-Pine Bluff,SEC,SWAC,1454.0,,2024-08-29,19:30
Tulane,Southeastern Louisiana,American Athletic,Southland,1565.0,,2024-08-29,20:00
Tulsa,Northwestern State,American Athletic,Southland,1248.0,,2024-08-29,20:00
Jacksonville State,Coastal Carolina,Conference USA,Sun Belt,1538.0,1448.0,2024-08-29,20:00
Colorado,North Dakota State,Big 12,MVFC,1324.0,,2024-08-29,20:00
Minnesota,North Carolina,Big Ten,ACC,1492.0,1546.0,2024-08-29,20:00
Kansas,Lindenwood,Big 12,Big South-OVC,1619.0,,2024-08-29,20:00
Missouri,Murray State,SEC,MVFC,1744.0,,2024-08-29,20:00
UAB,Alcorn State,American Athletic,SWAC,1363.0,,2024-08-29,20:00
Illinois,Eastern Illinois,Big Ten,Big South-OVC,1502.0,,2024-08-29,21:00
Utah,Southern Utah,Big 12,UAC,1622.0,,2024-08-29,21:00
San José State,Sacramento State,Mountain West,Big Sky,1544.0,,2024-08-29,22:00
Army,Lehigh,American Athletic,Patriot,1425.0,,2024-08-30,18:00
Michigan State,Florida Atlantic,Big Ten,American Athletic,1392.0,1422.0,2024-08-30,19:00
Oklahoma,Temple,SEC,American Athletic,1786.0,1178.0,2024-08-30,19:00
Duke,Elon,ACC,CAA,1602.0,,2024-08-30,19:30
Wisconsin,Western Michigan,Big Ten,Mid-American,1587.0,1315.0,2024-08-30,21:00
