home_team,away_team,home_conference,away_conference,home_elo,away_elo,date,time (et),elo_diff,outlet,score
Air Force,Merrimack,Mountain West,FCS Independents,1572.0,1000.0,2024-08-31,15:30,572.0,CBSSN,22.372372996591878
Alabama,Western Kentucky,SEC,Conference USA,1854.0,1466.0,2024-08-31,19:00,388.0,ESPN,33.8851607800111
Appalachian State,East Tennessee State,Sun Belt,Southern,1578.0,1000.0,2024-08-31,15:30,578.0,ESPN+,0.0
Arizona,New Mexico,Big 12,Mountain West,1714.0,1234.0,2024-08-31,22:30,480.0,ESPN,25.644557709073837
Arizona State,Wyoming,Big 12,Mountain West,1355.0,1496.0,2024-08-31,22:30,141.0,FS1,24.901390976129733
Arkansas,Arkansas-Pine Bluff,SEC,SWAC,1454.0,1000.0,2024-08-29,19:30,454.0,ESPNU,26.35661113080468
Arkansas State,Central Arkansas,Sun Belt,UAC,1406.0,1000.0,2024-08-31,19:00,406.0,ESPN+,0.0
Army,Lehigh,American Athletic,Patriot,1425.0,1000.0,2024-08-30,18:00,425.0,CBSSN,21.107742401472525
Auburn,Alabama A&M,SEC,SWAC,1556.0,1000.0,2024-08-31,19:30,556.0,SECN+,0.0
Auburn,Alabama A&M,SEC,SWAC,1556.0,1000.0,2024-08-31,19:30,556.0,ESPN+,0.0
BYU,Southern Illinois,Big 12,MVFC,1409.0,1000.0,2024-08-31,20:00,409.0,BIG12|ESPN+,0.0
Baylor,Tarleton State,Big 12,UAC,1422.0,1000.0,2024-08-31,19:00,422.0,BIG12|ESPN+,0.0
Bowling Green,Fordham,Mid-American,Patriot,1431.0,1000.0,2024-08-29,19:00,431.0,ESPN+,0.0
Buffalo,Lafayette,Mid-American,Patriot,1357.0,1000.0,2024-08-29,19:00,357.0,ESPN+,0.0
California,UC Davis,ACC,Big Sky,1483.0,1000.0,2024-08-31,17:00,483.0,ACCNX,0.0
California,UC Davis,ACC,Big Sky,1483.0,1000.0,2024-08-31,17:00,483.0,ESPN+,0.0
Central Michigan,Central Connecticut,Mid-American,NEC,1333.0,1000.0,2024-08-29,19:00,333.0,ESPN+,0.0
Charlotte,James Madison,American Athletic,Sun Belt,1203.0,1691.0,2024-08-31,20:00,488.0,ESPNU,25.17489483272187
Cincinnati,Towson,Big 12,CAA,1394.0,1000.0,2024-08-31,14:30,394.0,BIG12|ESPN+,0.0
Colorado,North Dakota State,Big 12,MVFC,1324.0,1000.0,2024-08-29,20:00,324.0,ESPN,20.24516129032258
Duke,Elon,ACC,CAA,1602.0,1000.0,2024-08-30,19:30,602.0,ACCN,32.63118238419153
East Carolina,Norfolk State,American Athletic,MEAC,1404.0,1000.0,2024-08-31,18:00,404.0,ESPN+,0.0
Florida,Miami,SEC,ACC,1562.0,1553.0,2024-08-31,15:30,9.0,ABC,39.05334987593052
Florida State,Boston College,ACC,ACC,1692.0,1396.0,2024-09-02,19:30,296.0,ESPN,36.88619862813411
Georgia,Clemson,SEC,ACC,2015.0,1676.0,2024-08-31,12:00,339.0,ABC,42.114654794920455
Georgia Southern,Boise State,Sun Belt,Mountain West,1384.0,1626.0,2024-08-31,16:00,242.0,ESPNU,26.223743732704307
Georgia Tech,Georgia State,ACC,Sun Belt,1497.0,1416.0,2024-08-31,20:00,81.0,ACCN,35.542909883193126
Hawai'i,UCLA,Mountain West,Big Ten,1227.0,1568.0,2024-08-31,19:30,341.0,CBS,24.332673080550844
Houston,UNLV,Big 12,Mountain West,1447.0,1496.0,2024-08-31,19:00,49.0,FS1,25.959553349875932
Illinois,Eastern Illinois,Big Ten,Big South-OVC,1502.0,1000.0,2024-08-29,21:00,502.0,BTN,21.76928996739168
